"","Estimate","lower","OR","upper","u.Accuracy","r.Accuracy","full.Accuracy","u.AUC","r.AUC","full.AUC","IDI","NRI","z.IDI","z.NRI","Frequency"
"std_6th_delta_delta",0.347340308904183,1.28686676972993,1.41529828203422,1.55654747969706,0.668220858895705,0.710981595092025,0.750184049079754,0.701603358656537,0.718023790483807,0.775708716513395,0.152582717585038,0.750983606557377,6.53079166389631,6.41785815006426,1
"minIntensity",-0.794822022936947,0.358316408530495,0.451661613177044,0.569324228422346,0.611226993865032,0.704723926380368,0.702760736196319,0.6831237504998,0.663643542582967,0.735040983606557,0.141599131123611,0.688852459016393,6.29693729314374,6.08207528758778,1
"tqwt_TKEO_mean_dec_12",-0.0233057355111677,0.970294869518354,0.976963745598017,0.983678457134059,0.725521472392638,0.672269938650306,0.722147239263804,0.706847261095563,0.656537385045981,0.730016993202719,0.132275205295886,0.750327868852459,6.01116620362673,6.43387306231461,1
"std_delta_delta_log_energy",0.113702961714153,1.08097995057017,1.12041926803218,1.16129752038012,0.717423312883436,0.716564417177914,0.751840490797546,0.72516093562575,0.722401039584166,0.766208516593363,0.130143793166535,0.670491803278689,5.94057983575993,5.66540461502657,1
"std_delta_log_energy",0.10242177519974,1.0702145910961,1.10785063712537,1.14681022328623,0.708650306748467,0.704785276073619,0.740920245398773,0.716628348660536,0.720604758096762,0.76093762495002,0.121938487894721,0.622131147540984,5.7311261945795,5.18477305969508,1
"std_7th_delta",0.253742048380056,1.19578506273463,1.28883930319895,1.38913488823114,0.675030674846625,0.688834355828222,0.716564417177915,0.708986405437825,0.689707117153139,0.732764894042383,0.124463624842103,0.79344262295082,5.72383330786146,6.91083478638092,1
"tqwt_maxValue_dec_13",-0.036801284789201,0.95364462047785,0.963867651483386,0.974200272959727,0.680698442661632,0.679093912222746,0.693629070316187,0.714198935810291,0.64125272967736,0.725452895764771,0.115951919816914,0.685245901639344,5.65547527702054,5.90982225713396,0.65
"tqwt_entropy_shannon_dec_16",-0.0155969617668985,0.979674027072575,0.984524040932978,0.989398065468152,0.678282208588957,0.695092024539877,0.687361963190184,0.735529788084766,0.606685325869652,0.732688924430228,0.117105306462942,0.733770491803278,5.60554214641033,6.49187790192965,0.5
"std_7th_delta_delta",0.233272350599846,1.1729184305394,1.26272533650312,1.3594084924675,0.691042944785277,0.705766871165645,0.72196319018405,0.716768292682927,0.695836665333867,0.733861455417833,0.120287751222218,0.695409836065574,5.60275441668781,5.91418641756668,1
"tqwt_TKEO_std_dec_12",-0.025887388493764,0.966157315005894,0.974444817128943,0.982803407769746,0.726073619631902,0.665828220858896,0.731901840490797,0.720332866853259,0.69296081567373,0.753698520591763,0.114965750770769,0.732459016393443,5.59691508038405,6.28714237847953,1
"meanIntensity",-0.0938717533742518,0.88155426924684,0.910399510419621,0.94018859358528,0.606543967280164,0.685480572597137,0.711247443762781,0.688577902172465,0.667899506863921,0.717499666799947,0.114216009911479,0.700546448087432,5.59306211877649,6.29188247912458,0.15
