"","Estimate","lower","OR","upper","u.Accuracy","r.Accuracy","full.Accuracy","u.AUC","r.AUC","full.AUC","IDI","NRI","z.IDI","z.NRI","Frequency"
"Ba_tqwt_kurtosisValue_dec_36",0.126820174349677,1.09929523703388,1.13521285903492,1.17230402889348,0.678595773687797,0.692433537832311,0.773960463531016,0.707922386600915,0.698903771824603,0.770459593940202,0.151398552026441,0.840255009107468,6.63822805736883,7.43682020043689,0.9
"Ba_std_delta_delta_log_energy",0.413313573699216,1.34972732885165,1.51181901829645,1.69337665113993,0.716012269938651,0.7620245398773,0.814601226993865,0.723975409836065,0.755603758496601,0.817041183526589,0.148174567082596,0.79327868852459,6.54566262309397,6.85683989318564,1
"De_tqwt_energy_dec_33",-0.21296990368611,0.761011858521189,0.808180460103279,0.858272638959885,0.747730061349693,0.713251533742331,0.779447852760736,0.735366853258696,0.735328868452619,0.778011795281887,0.141403851044487,0.781803278688525,6.21657927867856,6.73509534793051,1
"Ba_tqwt_entropy_log_dec_12",-0.510174935553133,0.518049209057669,0.600390539973814,0.695819613634273,0.741491766225379,0.689183080400388,0.762286083306425,0.730743492076854,0.703811107136093,0.768584145289253,0.136499738553649,0.831924072476273,6.11994086982894,7.31905999493147,0.95
"De_tqwt_TKEO_mean_dec_11",-0.0484615646147011,0.939191629995813,0.952693955761408,0.966390398249574,0.641799591002045,0.621186094069529,0.724253578732106,0.646707983473277,0.642329734772757,0.751881913901106,0.131173401067951,0.645245901639344,6.03899455247964,5.39930042794723,0.75
"Ba_std_5th_delta",0.534253154202532,1.44980313591891,1.70617351778065,2.0078781737018,0.622085889570552,0.713880368098159,0.741794478527607,0.660095961615354,0.706135045981608,0.75828293682527,0.128350874427866,0.650409836065574,5.86817784183519,5.51164770600907,0.8
"Ba_tqwt_energy_dec_12",-0.0516307555033344,0.933673253051887,0.949679466026923,0.965960077837917,0.672290388548057,0.697034764826176,0.765439672801636,0.674336931893909,0.708275023324004,0.7817706250833,0.108065617589417,0.653005464480874,5.65343120064009,5.48295173078901,0.6
"De_std_MFCC_2nd_coef",-1.32264797592766,0.169267941394689,0.26642886983723,0.419360819880398,0.702147239263805,0.780245398773006,0.819079754601227,0.686050579768093,0.776439424230308,0.820518792483007,0.114166855734946,0.717540983606558,5.65326612395242,6.11401770377804,1
"Ba_tqwt_kurtosisValue_dec_26",-0.0369682944983227,0.95160542738505,0.963706689668747,0.975961839839843,0.762944785276074,0.669938650306749,0.757300613496932,0.662538984406237,0.697892842862855,0.756901239504198,0.112545687572036,0.586229508196721,5.63500415103763,5.24804189519108,0.25
"Ba_tqwt_kurtosisValue_dec_28",-0.0470381762018219,0.939499598182532,0.95405097485257,0.968827729546615,0.679072937968644,0.720381731424676,0.753646898432175,0.673335110400284,0.72522102270203,0.762197343284908,0.117701791372736,0.728233151183971,5.60349853597193,6.20117372626189,0.45
"tqwt_kurtosisValue_dec_20",0.516070449385399,1.40266820341768,1.67543100632468,2.00123525300891,0.673159509202454,0.709969325153374,0.758895705521472,0.689761595361855,0.718096511395442,0.768998650539784,0.112059862995009,0.780122950819672,5.57402009154177,6.72918736398906,0.8
"Ba_meanIntensity",-0.896112909151653,0.302149204608397,0.408153108454939,0.551346677074125,0.610429447852761,0.70601226993865,0.740736196319018,0.690525789684126,0.694624150339864,0.757009196321471,0.110539246221376,0.691803278688525,5.56169137656381,6.15507607555361,0.5
"De_tqwt_stdValue_dec_33",-0.753100405139921,0.364414962465252,0.470904293023075,0.608511932900413,0.681756538585728,0.706813044882144,0.779334840167904,0.684446221511395,0.725304614996107,0.771365138155264,0.106263151457699,0.658671268334771,5.53118800315624,5.5612548260123,0.95
"De_locDbShimmer",1.07575305486851,2.09547139900569,2.93220017694797,4.10303757034022,0.712699386503068,0.752331288343558,0.78319018404908,0.736417433026789,0.740140943622551,0.780754698120751,0.0958776432911211,0.81344262295082,5.52382379133829,7.14271135087115,1
"De_std_12th_delta_delta",0.826565979030634,1.71102425502535,2.28545694213634,3.05274073059929,0.69455070371707,0.721977625405991,0.756116925297726,0.675736764117882,0.728732036597126,0.76306418609027,0.114637906366576,0.662873674059788,5.47006997657517,5.57605062847028,0.85
"De_std_MFCC_6th_coef",0.294482987766228,1.20949473585274,1.34243212540635,1.48998086382943,0.579364194088121,0.66670384829894,0.730619074177356,0.604616335284068,0.67208934607975,0.757184398967686,0.109801560127486,0.580923994038748,5.42644702055827,4.84624502492421,0.55
"std_MFCC_8th_coef",0.545217066268465,1.4249989318132,1.72498277731535,2.08811776318203,0.653987730061349,0.706058282208589,0.750843558282209,0.673108256697321,0.708601559376249,0.763315923630548,0.107479405779775,0.700614754098361,5.37530124787482,5.94566475704124,0.8
"Ba_tqwt_kurtosisValue_dec_17",0.0908505543465013,1.05904669352493,1.09510533429648,1.13239170712389,0.630981595092025,0.699079754601227,0.726993865030675,0.674540183926429,0.706672331067573,0.742323070771691,0.0977336787797147,0.575409836065574,5.18495727733769,4.77545757898142,0.2
