"","Estimate","lower","OR","upper","u.Accuracy","r.Accuracy","full.Accuracy","u.AUC","r.AUC","full.AUC","IDI","NRI","z.IDI","z.NRI","Frequency"
"tqwt_kurtosisValue_dec_36",0.146760083027965,1.11829121634964,1.15807608758935,1.19927636472371,0.67801097836616,0.682466903454956,0.763706813044882,0.708109387823818,0.694722111155538,0.769533239335844,0.157297137276383,0.840034512510785,6.81591238682903,7.43974165960188,0.95
"De_std_12th_delta_delta",0.545570754444855,1.50566626132179,1.72559299123452,1.97764355082491,0.657110987172336,0.684662576687116,0.744785276073619,0.669508560212279,0.689827705281524,0.758256697321072,0.16193740028227,0.837853949329359,6.73921176829789,7.36935806494929,0.55
"Ba_std_delta_log_energy",0.508776608587501,1.44572867356386,1.6632551377001,1.91351095379903,0.709815950920246,0.757852760736196,0.819877300613497,0.713358656537385,0.750144942023191,0.815302878848461,0.150510294897246,0.759180327868853,6.61191335179127,6.53387314265769,1
"Ba_std_5th_delta",0.307197983819613,1.2361854440898,1.3596101222322,1.4953579119655,0.61877300613497,0.695337423312883,0.725889570552147,0.654806077568972,0.67000399840064,0.73186925229908,0.133632481656596,0.701639344262295,6.05165422453532,6.02845480888509,0.5
"Ba_meanIntensity",-1.65331595452211,0.116166460424549,0.191414134539319,0.315404039750647,0.607800175284838,0.676862401402279,0.729272567922874,0.689070086251214,0.6890543782487,0.762699206031873,0.127843207593222,0.731381733021078,6.02003400387407,6.47582474515948,0.7
"De_tqwt_energy_dec_33",-0.221048523748804,0.750092747046049,0.801677778935217,0.856810392807393,0.746625766871165,0.725521472392638,0.785950920245399,0.732847860855657,0.740043982407037,0.783489604158337,0.127765396955938,0.74655737704918,5.89779261492118,6.42151008312338,1
"De_std_MFCC_2nd_coef",-1.66326145717409,0.109793339502068,0.189519860126241,0.327139856981884,0.703374233128835,0.771717791411043,0.827546012269939,0.68500799680128,0.765074970011995,0.820668732506997,0.125242884323436,0.763114754098361,5.88142198552947,6.55255522006674,1
"De_tqwt_stdValue_dec_12",-0.0733292333906743,0.910983807171846,0.929294824768888,0.94797389870546,0.724335378323108,0.751226993865031,0.762678936605317,0.720170265227242,0.67390043982407,0.764812408369985,0.128116145336289,0.681420765027322,5.85114243741288,5.78849265202229,0.6
"De_locDbShimmer",1.27637000890147,2.45090924922918,3.58360762289933,5.23978747843931,0.716687116564417,0.749386503067485,0.785398773006135,0.737057177129148,0.739712115153938,0.782553978408636,0.103516624633239,0.801967213114754,5.81760924110728,7.01412998790542,1
"std_MFCC_8th_coef",0.576486463685271,1.48364946213964,1.77977413123042,2.13500293635995,0.653660531697341,0.700286298568507,0.74519427402863,0.674387578302012,0.708773823803812,0.760257230441157,0.119248078831195,0.669945355191257,5.72174644595124,5.62278865368483,0.75
"Ba_tqwt_energy_dec_12",-0.0544168109738914,0.93049508644295,0.947037288690705,0.963873575731807,0.670050195203569,0.687451199107641,0.756497490239821,0.672852677110974,0.70273163461888,0.768583475700629,0.111986280725497,0.635171385991058,5.58862748184476,5.3064746904913,0.55
"tqwt_kurtosisValue_dec_26",-0.0154955133340103,0.9798096822765,0.984623924420497,0.989461821084183,0.759509202453988,0.660531697341513,0.731697341513292,0.661215513794482,0.683619885379182,0.741416766626683,0.109773485379898,0.654644808743169,5.43527849084748,6.03563819696748,0.15
"tqwt_kurtosisValue_dec_20",0.632144296663567,1.5106465682432,1.88164105308638,2.34374679497501,0.669486599935421,0.689958023894091,0.759250887956086,0.688863402007618,0.721545066184053,0.77882952082325,0.10424546611044,0.737704918032787,5.41772152113155,6.30473269855436,0.95
"De_tqwt_maxValue_dec_28",-0.0728329453338016,0.906120094232144,0.929756137154179,0.954008723654233,0.651942740286299,0.718200408997955,0.754192229038855,0.645495135279222,0.728621884579501,0.758603225376516,0.109327098903546,0.718032786885246,5.37765027473141,6.13151439139147,0.15
"De_tqwt_kurtosisValue_dec_33",0.681964539390675,1.55979042006724,1.97775930429001,2.50772912526101,0.694355828220859,0.76803680981595,0.825214723926381,0.679955017992803,0.768931427429028,0.818301679328269,0.0937107656101741,0.576229508196721,5.29634764773816,4.8147853838474,1
"Ba_tqwt_kurtosisValue_dec_28",-0.0436879808978371,0.942908885556182,0.95725259197508,0.971814497540242,0.675950920245399,0.702331288343559,0.73521472392638,0.670493802479008,0.682934826069572,0.747005197920832,0.108158020349307,0.654754098360656,5.28324961208511,5.53798297572661,0.5
